,id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified,clean_text,topic_id
36910,1203140321724502016,https://twitter.com/MurrayCampaign/status/1203140321724502016,Sat Dec 07 02:33:00 +0000 2019,2019-12-07T02:33:00+00:00,MurrayCampaign,"With this bipartisan agreement for permanent funding, historically black colleges and universities and other minority serving institutions will have the resources they need and deserve. https://t.co/qhxk7rbi4y",original,,,,https://www.washingtonpost.com/education/2019/12/04/congress-reaches-bipartisan-deal-funding-minority-serving-colleges/,18,,,,en,,0.0,3,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,With this bipartisan agreement for permanent funding historically black colleges and universities and other minority serving institutions will have the resources they need and deserve ,533
36913,1202776423951478784,https://twitter.com/MurrayCampaign/status/1202776423951478784,Fri Dec 06 02:27:00 +0000 2019,2019-12-06T02:27:00+00:00,MurrayCampaign,"Once again, Secretary DeVos is failing at the most basic part of her job, which is standing with students. I’m going to keep calling on her to finally hold student loan companies and for-profit colleges accountable for ripping off our students. https://t.co/8XHYk0Z8os",original,,,,https://www.nytimes.com/2019/12/03/business/devos-student-loan-agency.html,27,,,,en,,0.0,7,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,Once again Secretary DeVos is failing at the most basic part of her job which is standing with students Im going to keep calling on her to finally hold student loan companies and forprofit colleges accountable for ripping off our students ,497
36934,1198716675220226049,https://twitter.com/MurrayCampaign/status/1198716675220226049,Sun Nov 24 21:35:01 +0000 2019,2019-11-24T21:35:01+00:00,MurrayCampaign,"Secretary DeVos should do the right thing and help student borrowers, not hurt them. https://t.co/eOEWE4ScTq",original,,,,https://www.columbian.com/news/2019/nov/20/murray-to-devos-halt-changes-to-a-popular-student-loan-repayment-plan/,13,,,,en,,0.0,5,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,Secretary DeVos should do the right thing and help student borrowers not hurt them ,497
36939,1197959886790897665,https://twitter.com/MurrayCampaign/status/1197959886790897665,Fri Nov 22 19:27:48 +0000 2019,2019-11-22T19:27:48+00:00,MurrayCampaign,I’m urging Secretary DeVos to reverse her plan to bury student borrowers in bureaucratic red tape that could prevent them from accessing an affordable way to pay off their student debt. https://t.co/0qmcAAGPUF,original,,,,https://www.washingtonpost.com/education/2019/11/20/sen-patty-murray-urges-devos-halt-changes-popular-student-loan-repayment-plan/,10,,,,en,,0.0,3,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,Im urging Secretary DeVos to reverse her plan to bury student borrowers in bureaucratic red tape that could prevent them from accessing an affordable way to pay off their student debt ,497
36962,1195396463657967618,https://twitter.com/MurrayCampaign/status/1195396463657967618,Fri Nov 15 17:41:40 +0000 2019,2019-11-15T17:41:40+00:00,MurrayCampaign,"Our Department of Education should be working on behalf of students and families, not serving the interests of predatory, for-profit schools. Join me in speaking out and calling on Secretary Betsy DeVos to stand with our students. We can’t let her keep getting away with this. https://t.co/9C5T4i7OOx",original,,,https://pbs.twimg.com/ext_tw_video_thumb/1195396343075889152/pu/img/xBw7hkofGPGOQna6.jpg,,21,,,,en,,0.0,9,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,Our Department of Education should be working on behalf of students and families not serving the interests of predatory forprofit schools Join me in speaking out and calling on Secretary Betsy DeVos to stand with our students We cant let her keep getting away with this ,497
36976,1193679229910683650,https://twitter.com/MurrayCampaign/status/1193679229910683650,Sun Nov 10 23:58:00 +0000 2019,2019-11-10T23:58:00+00:00,MurrayCampaign,Steven Menashi was a key architect in Secretary DeVos’ illegal plan to block students from getting debt relief. He is unqualified to serve on the federal bench. #StopMenashi https://t.co/rGKF7YqIlw,original,,StopMenashi,,https://www.nytimes.com/2019/11/06/us/politics/steven-menashi-confirmation.html,24,,,,en,,0.0,10,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,Steven Menashi was a key architect in Secretary DeVos illegal plan to block students from getting debt relief He is unqualified to serve on the federal bench StopMenashi ,497
36979,1193260332128653312,https://twitter.com/MurrayCampaign/status/1193260332128653312,Sat Nov 09 20:13:27 +0000 2019,2019-11-09T20:13:27+00:00,MurrayCampaign,"Too little, too late.This is just partial relief for student borrowers who Education Secretary Betsy DeVos failed to protect in the first place. https://t.co/PKpDLD3cLs",original,,,,https://www.nytimes.com/2019/11/08/business/student-loans-betsy-devos-art-institutes.html,24,,,,en,,0.0,9,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,Too little too lateThis is just partial relief for student borrowers who Education Secretary Betsy DeVos failed to protect in the first place ,497
36982,1192872341576941568,https://twitter.com/MurrayCampaign/status/1192872341576941568,Fri Nov 08 18:31:43 +0000 2019,2019-11-08T18:31:43+00:00,MurrayCampaign,"Steven Menashi helped orchestrate Secretary DeVos’ illegal efforts to stand with predatory, for-profit schools instead of student borrowers. Someone who has worked to undermine the law should not be charged with upholding it. #StopMenashi https://t.co/412Vm3snxP",original,,StopMenashi,,https://www.politico.com/news/2019/11/07/judiciary-committee-approves-trump-nominee-067317,54,,,,en,,0.0,36,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,Steven Menashi helped orchestrate Secretary DeVos illegal efforts to stand with predatory forprofit schools instead of student borrowers Someone who has worked to undermine the law should not be charged with upholding it StopMenashi ,497
36997,1191125400807706624,https://twitter.com/MurrayCampaign/status/1191125400807706624,Sun Nov 03 22:50:00 +0000 2019,2019-11-03T22:50:00+00:00,MurrayCampaign,"This Tuesday, November 5, vote to restore equal opportunity in Washington state and #Approve1000. We need to pass affirmative action to ensure women and people of color have the same opportunities to succeed in public employment, contracting, and at our universities.",original,,Approve1000,,,29,,,,en,,,8,,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,This Tuesday November  vote to restore equal opportunity in Washington state and Approve We need to pass affirmative action to ensure women and people of color have the same opportunities to succeed in public employment contracting and at our universities,533
37006,1189726434002186245,https://twitter.com/MurrayCampaign/status/1189726434002186245,Thu Oct 31 02:11:00 +0000 2019,2019-10-31T02:11:00+00:00,MurrayCampaign,I share the concerns regarding Steven Menashi’s alarming record -- and I’m calling for answers about his involvement in Secretary DeVos and the Education Department’s decision to continue collecting on loans from students who were defrauded by for-profit schools.,original,,,,,18,,,,en,,,6,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,I share the concerns regarding Steven Menashis alarming record  and Im calling for answers about his involvement in Secretary DeVos and the Education Departments decision to continue collecting on loans from students who were defrauded by forprofit schools,497
37008,1189357251523416064,https://twitter.com/MurrayCampaign/status/1189357251523416064,Wed Oct 30 01:44:00 +0000 2019,2019-10-30T01:44:00+00:00,MurrayCampaign,"It was a bad week for Secretary DeVos, but the students impacted by her terrible policies are the ones who need our concern. Time and time again, she has chosen to advocate for predatory, for-profit schools, leaving our students to pick up the tab. https://t.co/cSc3SX2o0H",original,,,,https://www.usnews.com/news/education-news/articles/2019-10-25/betsy-devos-held-in-civil-contempt-for-collecting-on-student-loans,55,,,,en,,0.0,32,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,It was a bad week for Secretary DeVos but the students impacted by her terrible policies are the ones who need our concern Time and time again she has chosen to advocate for predatory forprofit schools leaving our students to pick up the tab ,497
37014,1188908231885836289,https://twitter.com/MurrayCampaign/status/1188908231885836289,Mon Oct 28 19:59:45 +0000 2019,2019-10-28T19:59:45+00:00,MurrayCampaign,Secretary DeVos refused to follow the law and refused to protect students who were cheated by for-profit colleges. She should be held accountable. https://t.co/ReN0Havazb,original,,,,https://www.politico.com/news/2019/10/24/judge-holds-betsy-devos-in-contempt-057012,11,,,,en,,0.0,5,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,Secretary DeVos refused to follow the law and refused to protect students who were cheated by forprofit colleges She should be held accountable ,497
37042,1184654012437676033,https://twitter.com/MurrayCampaign/status/1184654012437676033,Thu Oct 17 02:15:01 +0000 2019,2019-10-17T02:15:01+00:00,MurrayCampaign,"After Secretary DeVos’ rejection of crucial GAO recommendations to better support student parents, I’m joining @TammyforIL and demanding that the Education Dept. immediately stop undermining student parents and encourage, rather than sabotage, their success.",original,,,,,18,,,,en,,,6,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,After Secretary DeVos rejection of crucial GAO recommendations to better support student parents Im joining TammyforIL and demanding that the Education Dept immediately stop undermining student parents and encourage rather than sabotage their success,497
37101,1176314810881007616,https://twitter.com/MurrayCampaign/status/1176314810881007616,Tue Sep 24 01:58:00 +0000 2019,2019-09-24T01:58:00+00:00,MurrayCampaign,We need to make sure all of our students have the opportunity to succeed. Student parents need to know about their options for affordable child care while they pursue their higher education. https://t.co/cNBeb9mtOM,original,,,,https://www.cnbc.com/2019/09/22/colleges-could-be-doing-more-to-help-parent-students-with-children.html,7,,,,en,,0.0,1,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,We need to make sure all of our students have the opportunity to succeed Student parents need to know about their options for affordable child care while they pursue their higher education ,494
37117,1173995852425306117,https://twitter.com/MurrayCampaign/status/1173995852425306117,Tue Sep 17 16:23:17 +0000 2019,2019-09-17T16:23:17+00:00,MurrayCampaign,Colleges and the Department of Education must do more to give student parents information about the support available to make child care financially possible. We should be doing everything we can to ensure all of our students succeed. https://t.co/EUNKYequDb,original,,,,https://www.wxxinews.org/post/colleges-could-do-more-help-student-parents-pay-child-care-watchdog-says,2,,,,en,,0.0,1,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,Colleges and the Department of Education must do more to give student parents information about the support available to make child care financially possible We should be doing everything we can to ensure all of our students succeed ,497
37119,1173685236724568065,https://twitter.com/MurrayCampaign/status/1173685236724568065,Mon Sep 16 19:49:01 +0000 2019,2019-09-16T19:49:01+00:00,MurrayCampaign,Student parents can’t use the child care benefits that are available to them if they don’t know about them. Colleges and the Department of Education should take simple steps to ensure that student parents can access the child care their families need. https://t.co/46ELCEiOWU,original,,,,https://www.kxly.com/news/student-parents-could-be-eligible-for-federal-aid-they-didn-t-know-about-report-says/1120984576,10,,,,en,,0.0,4,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,Student parents cant use the child care benefits that are available to them if they dont know about them Colleges and the Department of Education should take simple steps to ensure that student parents can access the child care their families need ,497
37126,1172604362755059713,https://twitter.com/MurrayCampaign/status/1172604362755059713,Fri Sep 13 20:14:00 +0000 2019,2019-09-13T20:14:00+00:00,MurrayCampaign,There are simple steps colleges and the Department of Education can take to better support student parents and help make sure the child care crisis doesn’t stand between parents and their ability to achieve their higher education dreams. https://t.co/3wIZV0iG4C,original,,,,https://www.kasu.org/post/colleges-could-do-more-help-student-parents-pay-child-care-watchdog-says#stream/0,0,,,,en,,0.0,0,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,There are simple steps colleges and the Department of Education can take to better support student parents and help make sure the child care crisis doesnt stand between parents and their ability to achieve their higher education dreams ,494
37147,1168969557060608001,https://twitter.com/MurrayCampaign/status/1168969557060608001,Tue Sep 03 19:30:35 +0000 2019,2019-09-03T19:30:35+00:00,MurrayCampaign,"The Department of Education should be standing with our students—not the greedy, for-profit colleges that swindled them out of their education and savings. Secretary DeVos, our students deserve better than this. https://t.co/B9AmfRKAau",original,,,,https://www.politico.com/story/2019/08/30/devos-forgiving-student-loans-1697959,31,,,,en,,0.0,19,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,The Department of Education should be standing with our studentsnot the greedy forprofit colleges that swindled them out of their education and savings Secretary DeVos our students deserve better than this ,497
37155,1167186916686671877,https://twitter.com/MurrayCampaign/status/1167186916686671877,Thu Aug 29 21:27:00 +0000 2019,2019-08-29T21:27:00+00:00,MurrayCampaign,"Automatic student debt relief for veterans disabled in combat is an important step, but this fight isn’t over. I’ll keep fighting to ensure all struggling student loan borrowers get the debt relief they’re entitled to. https://t.co/Ix3qvYbC4L",original,,,,https://www.cnn.com/2019/08/21/politics/trump-veterans-student-debt/index.html,8,,,,en,,0.0,1,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,Automatic student debt relief for veterans disabled in combat is an important step but this fight isnt over Ill keep fighting to ensure all struggling student loan borrowers get the debt relief theyre entitled to ,118
37199,1160641035376177152,https://twitter.com/MurrayCampaign/status/1160641035376177152,Sun Aug 11 19:56:01 +0000 2019,2019-08-11T19:56:01+00:00,MurrayCampaign,"Under Secretary DeVos’ watch, for-profit colleges prey on students and scam them out of their education and their savings while she does absolutely nothing to protect students. https://t.co/TbQCNEfDDi",original,,,,https://www.cnbc.com/2019/08/02/under-betsy-devos-defrauded-students-find-it-hard-to-get-rid-of-debt.html,29,,,,en,,0.0,12,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,Under Secretary DeVos watch forprofit colleges prey on students and scam them out of their education and their savings while she does absolutely nothing to protect students ,497
37201,1159942682116087808,https://twitter.com/MurrayCampaign/status/1159942682116087808,Fri Aug 09 21:41:00 +0000 2019,2019-08-09T21:41:00+00:00,MurrayCampaign,"As our students head back to school this month, it’s time they finally have a Secretary of Education who has their back. Sign on and tell Betsy DeVos to stand with students now. https://t.co/sUJ46Behvh",original,,,,https://murraysenate.cp.bsd.net/page/signup/demand-secretary-devos-stand-with-our-students?source=tw190809,2,,,,en,,0.0,0,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,As our students head back to school this month its time they finally have a Secretary of Education who has their back Sign on and tell Betsy DeVos to stand with students now ,497
37202,1159634903308394497,https://twitter.com/MurrayCampaign/status/1159634903308394497,Fri Aug 09 01:18:00 +0000 2019,2019-08-09T01:18:00+00:00,MurrayCampaign,Eugene Scalia has a long record of standing with corporations instead of workers. He is the wrong choice for Secretary of Labor. President Trump should withdraw his nomination.,original,,,,,14,,,,en,,,4,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,Eugene Scalia has a long record of standing with corporations instead of workers He is the wrong choice for Secretary of Labor President Trump should withdraw his nomination,497
37203,1159539419315146752,https://twitter.com/MurrayCampaign/status/1159539419315146752,Thu Aug 08 18:58:35 +0000 2019,2019-08-08T18:58:35+00:00,MurrayCampaign,"Betsy DeVos is failing students across America, and she must be held accountable. I’m demanding that Secretary DeVos stand with our students. Add your name to join me. https://t.co/s22xddz0a4",original,,,,https://murraysenate.cp.bsd.net/page/signup/demand-secretary-devos-stand-with-our-students?source=tw190808,3,,,,en,,0.0,0,,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",158470209,Tue Jun 22 19:55:00 +0000 2010,False,Running for reelection to keep fighting for the great state of Washington in the U.S. Senate ● Mom (and Nana) in tennis shoes ● she/her/hers,23,27445,403,1025,Washington State,Senator Patty Murray,6828,,http://pattymurray.com,True,Betsy DeVos is failing students across America and she must be held accountable Im demanding that Secretary DeVos stand with our students Add your name to join me ,497
37209,1586077149508894782,https://twitter.com/PattyMurray/status/1586077149508894782,Fri Oct 28 19:27:14 +0000 2022,2022-10-28T19:27:14+00:00,PattyMurray,"Reminder: you can now apply for student debt relief and get up to $20,000 in relief under @POTUS's plan. Click below to learn more and apply. https://t.co/h6J9YLkO74",quote,,,,https://twitter.com/usedgov/status/1585361091856633861,87,,,,en,,0.0,38,1.5853610918566339e+18,usedgov,20437286.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",293131808,Wed May 04 20:23:35 +0000 2011,False,"U.S. Senator, Washington state | @HELPCmteDems Chair | Assistant Democratic Leader | Working every day for WA families | she/her/hers",284,491233,2392,3922,WA & DC,Senator Patty Murray,23404,,http://murray.senate.gov/,True,Reminder you can now apply for student debt relief and get up to  in relief under POTUSs plan Click below to learn more and apply ,118
37222,1584668710669012992,https://twitter.com/PattyMurray/status/1584668710669012992,Mon Oct 24 22:10:37 +0000 2022,2022-10-24T22:10:37+00:00,PattyMurray,"Reminder: you have until October 31 to apply for Public Service Loan Forgiveness under the temporary waiver.  Whether you're a teacher in Walla Walla or a nonprofit employee in Seattle, this waiver makes it easier for you to get the student loan debt relief you've earned. https://t.co/szC3UDhxPR",quote,,,,https://twitter.com/usedgov/status/1584525167287422976,117,,,,en,,0.0,70,1.5845251672874227e+18,usedgov,20437286.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",293131808,Wed May 04 20:23:35 +0000 2011,False,"U.S. Senator, Washington state | @HELPCmteDems Chair | Assistant Democratic Leader | Working every day for WA families | she/her/hers",284,491233,2392,3922,WA & DC,Senator Patty Murray,23404,,http://murray.senate.gov/,True,Reminder you have until October  to apply for Public Service Loan Forgiveness under the temporary waiver  Whether youre a teacher in Walla Walla or a nonprofit employee in Seattle this waiver makes it easier for you to get the student loan debt relief youve earned ,575
37242,1582775676406730757,https://twitter.com/PattyMurray/status/1582775676406730757,Wed Oct 19 16:48:22 +0000 2022,2022-10-19T16:48:22+00:00,PattyMurray,"Every single student deserves a quality education—that's the bottom line.  Whether it's getting more resources to K-12 schools across WA state, increasing the Pell Grant, or improving our broken student loan system, I have fought to support our students at every step.",original,,,,,393,,,,en,,,78,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",293131808,Wed May 04 20:23:35 +0000 2011,False,"U.S. Senator, Washington state | @HELPCmteDems Chair | Assistant Democratic Leader | Working every day for WA families | she/her/hers",284,491233,2392,3922,WA & DC,Senator Patty Murray,23404,,http://murray.senate.gov/,True,Every single student deserves a quality educationthats the bottom line  Whether its getting more resources to K schools across WA state increasing the Pell Grant or improving our broken student loan system I have fought to support our students at every step,1081
37261,1582117250206642176,https://twitter.com/PattyMurray/status/1582117250206642176,Mon Oct 17 21:12:01 +0000 2022,2022-10-17T21:12:01+00:00,PattyMurray,"You can now apply for @POTUS's student loan debt relief program!  This is huge—borrowers across Washington state may be eligible for up to $20,000 in relief. Click here for more information and to apply: https://t.co/zlLgn6vXjt",original,,,,https://studentaid.gov,273,,,,en,,0.0,80,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",293131808,Wed May 04 20:23:35 +0000 2011,False,"U.S. Senator, Washington state | @HELPCmteDems Chair | Assistant Democratic Leader | Working every day for WA families | she/her/hers",284,491233,2392,3922,WA & DC,Senator Patty Murray,23404,,http://murray.senate.gov/,True,You can now apply for POTUSs student loan debt relief program  This is hugeborrowers across Washington state may be eligible for up to  in relief Click here for more information and to apply ,118
37262,1582058343321018373,https://twitter.com/PattyMurray/status/1582058343321018373,Mon Oct 17 17:17:56 +0000 2022,2022-10-17T17:17:56+00:00,PattyMurray,"The Biden Admin has made it easier for WA’s public servants—like teachers &amp; firefighters—to get the student debt relief they deserve through the Public Service Loan Forgiveness waiver. Right now, applications are due October 31. Learn more &amp; apply at https://t.co/m5VYIlJGBr https://t.co/HA5tQKseDW",original,,,https://pbs.twimg.com/media/FfSZi-CWQAQPdNw.jpg,http://PSLF.gov,201,,,,en,,0.0,63,,,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",293131808,Wed May 04 20:23:35 +0000 2011,False,"U.S. Senator, Washington state | @HELPCmteDems Chair | Assistant Democratic Leader | Working every day for WA families | she/her/hers",284,491233,2392,3922,WA & DC,Senator Patty Murray,23404,,http://murray.senate.gov/,True,The Biden Admin has made it easier for WAs public servantslike teachers amp firefightersto get the student debt relief they deserve through the Public Service Loan Forgiveness waiver Right now applications are due October  Learn more amp apply at  ,575
37265,1581749577191149568,https://twitter.com/PattyMurray/status/1581749577191149568,Sun Oct 16 20:51:01 +0000 2022,2022-10-16T20:51:01+00:00,PattyMurray,"🚨 The beta application for up to $20,000 in student debt relief is now live!  The beta application is open periodically. If the site is down for a planned pause, try again later. If you submit an application, you won’t need to reapply.  Apply here: https://t.co/tz2pzkBjoH",original,,,,http://studentaid.gov/debt-relief/application,149,,,,en,,0.0,68,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",293131808,Wed May 04 20:23:35 +0000 2011,False,"U.S. Senator, Washington state | @HELPCmteDems Chair | Assistant Democratic Leader | Working every day for WA families | she/her/hers",284,491233,2392,3922,WA & DC,Senator Patty Murray,23404,,http://murray.senate.gov/,True, policecarlight  The beta application for up to  in student debt relief is now live  The beta application is open periodically If the site is down for a planned pause try again later If you submit an application you wont need to reapply  Apply here ,575
37272,1580988397761728512,https://twitter.com/PattyMurray/status/1580988397761728512,Fri Oct 14 18:26:22 +0000 2022,2022-10-14T18:26:22+00:00,PattyMurray,No one should ever be on the hook for repaying an abusive partner’s student loan debt. This law is finally going to let borrowers who have joint loans with former partners split them and move forward independently. https://t.co/SuXxJKzjVs,quote,,,,https://twitter.com/USATODAY/status/1580142902860054529,267,,,,en,,0.0,60,1.5801429028600545e+18,USATODAY,15754281.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",293131808,Wed May 04 20:23:35 +0000 2011,False,"U.S. Senator, Washington state | @HELPCmteDems Chair | Assistant Democratic Leader | Working every day for WA families | she/her/hers",284,491233,2392,3922,WA & DC,Senator Patty Murray,23404,,http://murray.senate.gov/,True,No one should ever be on the hook for repaying an abusive partners student loan debt This law is finally going to let borrowers who have joint loans with former partners split them and move forward independently ,118
